ticket_id,customer_id,message,intent,sentiment,assigned_department,priority,status,sla_deadline,created_at,channel,customer_segment,issue_category,resolution_status,resolved_at,resolution_time_hours,resolved_by_team,sla_met,customer_feedback_score,notification_channels,email_sent,email_error,sla_status,is_dispute,dispute_type
WYA-TCK-3B8712DE,CUST-0001,My card was used for a transaction I did not authorize.,card_issue,Neutral,Customer Operations,Medium,Open,2026-06-03 12:00 AM,2026-06-01 12:00 AM,Chatbot,SME,Card Services,Resolved,2026-06-01 06:00 AM,6.0,Customer Operations,1.0,4.0,dashboard,False,,Breached,True,Card Service Dispute
WYA-TCK-CDB6C38E,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-02 12:01 AM,2026-06-01 12:01 AM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",True,,Breached,True,Failed Transaction Dispute
WYA-TCK-66C6D763,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-02 04:34 PM,2026-06-01 04:34 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",False,SMTP_EMAIL is missing from .env,Breached,True,Failed Transaction Dispute
WYA-TCK-B699076C,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-03 01:25 PM,2026-06-02 01:25 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",True,,Breached,True,Failed Transaction Dispute
WYA-TCK-B65448BA,CUST-0001,My card was used for a transaction I did not authorize.,card_issue,Neutral,Customer Operations,Medium,Open,2026-06-04 01:27 PM,2026-06-02 01:27 PM,Chatbot,SME,Card Services,Resolved,2026-06-02 07:27 PM,6.0,Customer Operations,1.0,4.0,dashboard,False,,Breached,True,Card Service Dispute
WYA-TCK-73AE4AB2,CUST-0001,Someone accessed my account without permission and made a transaction.,fraud_alert,Neutral,Fraud/Risk Team,Critical,Escalated,2026-06-02 05:28 PM,2026-06-02 01:28 PM,Chatbot,SME,Fraud/Security,Escalated,,,,,,"dashboard, email",True,,Breached,True,Fraud/Risk Dispute
WYA-TCK-1E054B7E,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-03 02:00 PM,2026-06-02 02:00 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",False,[Errno 11001] getaddrinfo failed,Breached,True,Failed Transaction Dispute
WYA-TCK-EC78AB82,CUST-0001,I was debited twice for one transaction and I need urgent help.,failed_transaction,Negative,Finance Operations,High,Escalated,2026-06-03 02:00 PM,2026-06-02 02:00 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",False,[Errno 11001] getaddrinfo failed,Breached,True,Failed Transaction Dispute
WYA-TCK-0BC5F997,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-03 02:02 PM,2026-06-02 02:02 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",False,[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081),Breached,True,Failed Transaction Dispute
WYA-TCK-1F4074FD,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-03 02:02 PM,2026-06-02 02:02 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",False,[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081),Breached,True,Failed Transaction Dispute
WYA-TCK-DBD52380,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-03 02:02 PM,2026-06-02 02:02 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",False,[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081),Breached,True,Failed Transaction Dispute
