log_id,service_name,severity,event_type,message,created_at,is_incident,incident_type,incident_summary,alert_level,escalation_required,escalation_channel,escalation_status
LOG-85750,Notification Service,Critical,Repository,Branch deleted successfully,2026-05-27 03:12 PM,True,Repository Issue,"Critical incident detected on Notification Service. Log message: Branch deleted successfully. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-59310,Repository Automation,Warning,Repository,Merge conflict detected,2026-05-27 03:12 PM,True,Repository Issue,"Warning incident detected on Repository Automation. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-26458,CI/CD Pipeline,Warning,Pipeline,Integration tests failed,2026-05-27 03:12 PM,True,Pipeline Failure,"Warning incident detected on CI/CD Pipeline. Log message: Integration tests failed. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-31025,Customer API,Error,Repository,Code review requested changes,2026-05-27 03:12 PM,True,Repository Issue,"Error incident detected on Customer API. Log message: Code review requested changes. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-21129,KYC Service,Info,Repository,Merge conflict detected,2026-05-27 03:12 PM,True,Repository Issue,"Info incident detected on KYC Service. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-63310,Repository Automation,Error,Repository,Branch deleted successfully,2026-05-27 03:12 PM,True,Repository Issue,"Error incident detected on Repository Automation. Log message: Branch deleted successfully. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-23703,GitHub Actions,Error,Pipeline,Pipeline failed at testing stage,2026-05-27 03:12 PM,True,Pipeline Failure,"Error incident detected on GitHub Actions. Log message: Pipeline failed at testing stage. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-60349,Dashboard Service,Error,Pipeline,Unit tests passed successfully,2026-05-27 03:12 PM,True,Pipeline Failure,"Error incident detected on Dashboard Service. Log message: Unit tests passed successfully. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-23970,Repository Automation,Warning,System Check,Service unavailable,2026-05-27 03:12 PM,True,Operational Risk,"Warning incident detected on Repository Automation. Log message: Service unavailable. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-16318,KYC Service,Critical,Pipeline,Pipeline failed at testing stage,2026-05-27 03:12 PM,True,Pipeline Failure,"Critical incident detected on KYC Service. Log message: Pipeline failed at testing stage. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-26817,Repository Automation,Error,Repository,Code review passed,2026-05-27 03:12 PM,True,Repository Issue,"Error incident detected on Repository Automation. Log message: Code review passed. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-63073,KYC Service,Error,Repository,Code review passed,2026-05-27 03:12 PM,True,Repository Issue,"Error incident detected on KYC Service. Log message: Code review passed. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-20713,Repository Automation,Error,Pipeline,Deployment rollback initiated,2026-05-27 03:12 PM,True,Pipeline Failure,"Error incident detected on Repository Automation. Log message: Deployment rollback initiated. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-57708,GitHub Actions,Critical,Repository,Merge conflict detected,2026-05-27 03:23 PM,True,Repository Issue,"Critical incident detected on GitHub Actions. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-57089,Payment Service,Error,Pipeline,Integration tests failed,2026-05-27 03:23 PM,True,Pipeline Failure,"Error incident detected on Payment Service. Log message: Integration tests failed. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-88510,CI/CD Pipeline,Error,Repository,Pull request created,2026-05-27 03:23 PM,True,Repository Issue,"Error incident detected on CI/CD Pipeline. Log message: Pull request created. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-69784,KYC Service,Info,System Check,Service unavailable,2026-05-27 03:23 PM,True,Operational Risk,"Info incident detected on KYC Service. Log message: Service unavailable. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-97080,Customer API,Critical,Pipeline,Integration tests failed,2026-05-27 03:23 PM,True,Pipeline Failure,"Critical incident detected on Customer API. Log message: Integration tests failed. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-76469,Dashboard Service,Warning,Pipeline,Integration tests failed,2026-05-27 03:23 PM,True,Pipeline Failure,"Warning incident detected on Dashboard Service. Log message: Integration tests failed. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-16710,Customer API,Error,Repository,Merge conflict detected,2026-05-27 03:23 PM,True,Repository Issue,"Error incident detected on Customer API. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-31608,Payment Service,Info,System Check,Unusual request volume detected,2026-05-27 03:23 PM,True,Operational Risk,"Info incident detected on Payment Service. Log message: Unusual request volume detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-82695,CI/CD Pipeline,Error,System Check,Security vulnerability found,2026-05-27 03:23 PM,True,Security Risk,"Error incident detected on CI/CD Pipeline. Log message: Security vulnerability found. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-31585,Auth API,Critical,System Check,Database connection timeout,2026-05-27 03:23 PM,True,Database/Infrastructure Risk,"Critical incident detected on Auth API. Log message: Database connection timeout. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-30821,Dashboard Service,Critical,System Check,Service unavailable,2026-05-27 03:23 PM,True,Operational Risk,"Critical incident detected on Dashboard Service. Log message: Service unavailable. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-78495,KYC Service,Warning,System Check,Database connection timeout,2026-05-27 03:23 PM,True,Database/Infrastructure Risk,"Warning incident detected on KYC Service. Log message: Database connection timeout. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-24066,Repository Automation,Info,System Check,Unusual request volume detected,2026-05-27 03:23 PM,True,Operational Risk,"Info incident detected on Repository Automation. Log message: Unusual request volume detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-77089,Customer API,Critical,System Check,Service running normally,2026-05-27 03:23 PM,True,System Error,"Critical incident detected on Customer API. Log message: Service running normally. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-90332,Customer API,Critical,System Check,Service running normally,2026-05-27 03:23 PM,True,System Error,"Critical incident detected on Customer API. Log message: Service running normally. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-44578,Payment Service,Warning,Repository,Merge conflict detected,2026-05-27 03:23 PM,True,Repository Issue,"Warning incident detected on Payment Service. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-32069,Repository Automation,Critical,Pipeline,Unit tests passed successfully,2026-05-27 03:23 PM,True,Pipeline Failure,"Critical incident detected on Repository Automation. Log message: Unit tests passed successfully. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-53633,Repository Automation,Error,Pipeline,Pipeline failed at testing stage,2026-05-27 03:23 PM,True,Pipeline Failure,"Error incident detected on Repository Automation. Log message: Pipeline failed at testing stage. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-76647,Repository Automation,Error,Repository,Merge conflict detected,2026-05-27 03:23 PM,True,Repository Issue,"Error incident detected on Repository Automation. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-92834,Dashboard Service,Critical,System Check,Service unavailable,2026-05-27 03:23 PM,True,Operational Risk,"Critical incident detected on Dashboard Service. Log message: Service unavailable. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-62478,Repository Automation,Critical,Repository,Pull request created,2026-05-27 03:23 PM,True,Repository Issue,"Critical incident detected on Repository Automation. Log message: Pull request created. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-60288,GitHub Actions,Warning,System Check,Service unavailable,2026-05-27 03:23 PM,True,Operational Risk,"Warning incident detected on GitHub Actions. Log message: Service unavailable. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-64305,Payment Service,Error,Pipeline,Unit tests passed successfully,2026-05-27 03:23 PM,True,Pipeline Failure,"Error incident detected on Payment Service. Log message: Unit tests passed successfully. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-42217,KYC Service,Warning,System Check,Failed authentication attempt detected,2026-05-27 03:23 PM,True,Security Risk,"Warning incident detected on KYC Service. Log message: Failed authentication attempt detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-32457,Payment Service,Error,Repository,Merge conflict detected,2026-05-27 03:23 PM,True,Repository Issue,"Error incident detected on Payment Service. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-92703,Auth API,Error,Repository,Code review passed,2026-05-27 03:23 PM,True,Repository Issue,"Error incident detected on Auth API. Log message: Code review passed. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-49093,Repository Automation,Info,System Check,Security vulnerability found,2026-05-27 03:23 PM,True,Security Risk,"Info incident detected on Repository Automation. Log message: Security vulnerability found. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-95596,KYC Service,Critical,System Check,Unusual request volume detected,2026-05-27 03:24 PM,True,Operational Risk,"Critical incident detected on KYC Service. Log message: Unusual request volume detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-88774,Auth API,Error,System Check,Deployment completed successfully,2026-05-27 03:24 PM,True,System Error,"Error incident detected on Auth API. Log message: Deployment completed successfully. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-58471,Auth API,Critical,System Check,Service unavailable,2026-05-27 03:24 PM,True,Operational Risk,"Critical incident detected on Auth API. Log message: Service unavailable. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-62519,Auth API,Error,Repository,Pull request created,2026-05-27 03:24 PM,True,Repository Issue,"Error incident detected on Auth API. Log message: Pull request created. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-62683,Customer API,Error,Repository,Pull request created,2026-05-27 03:24 PM,True,Repository Issue,"Error incident detected on Customer API. Log message: Pull request created. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-25589,Payment Service,Critical,Pipeline,Unit tests passed successfully,2026-05-27 03:24 PM,True,Pipeline Failure,"Critical incident detected on Payment Service. Log message: Unit tests passed successfully. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-97824,Repository Automation,Warning,System Check,Security vulnerability found,2026-05-27 03:24 PM,True,Security Risk,"Warning incident detected on Repository Automation. Log message: Security vulnerability found. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-22051,Dashboard Service,Critical,Repository,Pull request created,2026-05-27 03:24 PM,True,Repository Issue,"Critical incident detected on Dashboard Service. Log message: Pull request created. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-87983,GitHub Actions,Critical,Pipeline,Deployment rollback initiated,2026-05-27 03:24 PM,True,Pipeline Failure,"Critical incident detected on GitHub Actions. Log message: Deployment rollback initiated. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-94573,GitHub Actions,Warning,System Check,Service unavailable,2026-05-27 03:24 PM,True,Operational Risk,"Warning incident detected on GitHub Actions. Log message: Service unavailable. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-83933,GitHub Actions,Warning,System Check,Database connection timeout,2026-05-27 03:24 PM,True,Database/Infrastructure Risk,"Warning incident detected on GitHub Actions. Log message: Database connection timeout. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-40603,Dashboard Service,Error,Pipeline,Build triggered successfully,2026-05-27 03:24 PM,True,Pipeline Failure,"Error incident detected on Dashboard Service. Log message: Build triggered successfully. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-31263,Customer API,Critical,System Check,Security vulnerability found,2026-05-27 03:24 PM,True,Security Risk,"Critical incident detected on Customer API. Log message: Security vulnerability found. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-79726,Customer API,Warning,System Check,Failed authentication attempt detected,2026-05-27 03:24 PM,True,Security Risk,"Warning incident detected on Customer API. Log message: Failed authentication attempt detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-84711,Notification Service,Warning,Repository,Merge conflict detected,2026-05-27 03:24 PM,True,Repository Issue,"Warning incident detected on Notification Service. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-15044,KYC Service,Critical,Pipeline,Unit tests passed successfully,2026-05-27 03:24 PM,True,Pipeline Failure,"Critical incident detected on KYC Service. Log message: Unit tests passed successfully. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-42797,Customer API,Info,Pipeline,Deployment rollback initiated,2026-05-27 03:24 PM,True,Pipeline Failure,"Info incident detected on Customer API. Log message: Deployment rollback initiated. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-73280,Repository Automation,Critical,Repository,Code review passed,2026-05-27 03:24 PM,True,Repository Issue,"Critical incident detected on Repository Automation. Log message: Code review passed. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-99668,Dashboard Service,Critical,System Check,Database connection timeout,2026-05-27 03:24 PM,True,Database/Infrastructure Risk,"Critical incident detected on Dashboard Service. Log message: Database connection timeout. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-16923,KYC Service,Warning,System Check,Failed authentication attempt detected,2026-05-27 03:24 PM,True,Security Risk,"Warning incident detected on KYC Service. Log message: Failed authentication attempt detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-52223,KYC Service,Error,Repository,Merge conflict detected,2026-05-27 03:24 PM,True,Repository Issue,"Error incident detected on KYC Service. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-36031,Dashboard Service,Error,Repository,Pull request created,2026-05-27 03:24 PM,True,Repository Issue,"Error incident detected on Dashboard Service. Log message: Pull request created. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-23723,Dashboard Service,Critical,Pipeline,Deployment rollback initiated,2026-05-27 03:24 PM,True,Pipeline Failure,"Critical incident detected on Dashboard Service. Log message: Deployment rollback initiated. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-94793,GitHub Actions,Error,Repository,Merge conflict detected,2026-05-27 03:24 PM,True,Repository Issue,"Error incident detected on GitHub Actions. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-54445,Customer API,Error,Pipeline,Integration tests failed,2026-05-27 03:24 PM,True,Pipeline Failure,"Error incident detected on Customer API. Log message: Integration tests failed. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-63756,Auth API,Error,Repository,Merge conflict detected,2026-05-27 03:24 PM,True,Repository Issue,"Error incident detected on Auth API. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-63107,Customer API,Critical,Repository,Merge conflict detected,2026-05-27 03:24 PM,True,Repository Issue,"Critical incident detected on Customer API. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-17969,KYC Service,Error,Pipeline,Pipeline failed at testing stage,2026-05-27 03:24 PM,True,Pipeline Failure,"Error incident detected on KYC Service. Log message: Pipeline failed at testing stage. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-41007,GitHub Actions,Error,Pipeline,Deployment rollback initiated,2026-05-27 03:25 PM,True,Pipeline Failure,"Error incident detected on GitHub Actions. Log message: Deployment rollback initiated. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-43644,Auth API,Info,Repository,Merge conflict detected,2026-05-27 03:25 PM,True,Repository Issue,"Info incident detected on Auth API. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-41558,Notification Service,Critical,System Check,Unusual request volume detected,2026-05-27 03:25 PM,True,Operational Risk,"Critical incident detected on Notification Service. Log message: Unusual request volume detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-42000,Dashboard Service,Error,Pipeline,Deployment rollback initiated,2026-05-27 03:25 PM,True,Pipeline Failure,"Error incident detected on Dashboard Service. Log message: Deployment rollback initiated. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-80460,Repository Automation,Info,Repository,Merge conflict detected,2026-05-27 03:25 PM,True,Repository Issue,"Info incident detected on Repository Automation. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-27237,GitHub Actions,Error,Repository,Code review passed,2026-05-27 03:25 PM,True,Repository Issue,"Error incident detected on GitHub Actions. Log message: Code review passed. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-52547,CI/CD Pipeline,Info,Pipeline,Integration tests failed,2026-05-27 03:25 PM,True,Pipeline Failure,"Info incident detected on CI/CD Pipeline. Log message: Integration tests failed. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-84360,Customer API,Info,Pipeline,Deployment rollback initiated,2026-05-27 03:25 PM,True,Pipeline Failure,"Info incident detected on Customer API. Log message: Deployment rollback initiated. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-10414,Notification Service,Error,Pipeline,Unit tests passed successfully,2026-05-27 03:25 PM,True,Pipeline Failure,"Error incident detected on Notification Service. Log message: Unit tests passed successfully. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-37971,Repository Automation,Critical,Repository,Merge conflict detected,2026-05-27 03:25 PM,True,Repository Issue,"Critical incident detected on Repository Automation. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-58357,Auth API,Error,Pipeline,Pipeline deployment succeeded,2026-05-27 03:25 PM,True,Pipeline Failure,"Error incident detected on Auth API. Log message: Pipeline deployment succeeded. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-50729,GitHub Actions,Error,Repository,Pull request created,2026-05-27 03:25 PM,True,Repository Issue,"Error incident detected on GitHub Actions. Log message: Pull request created. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-51736,GitHub Actions,Info,Repository,Merge conflict detected,2026-05-27 03:25 PM,True,Repository Issue,"Info incident detected on GitHub Actions. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-24792,Customer API,Info,System Check,Unusual request volume detected,2026-05-27 03:25 PM,True,Operational Risk,"Info incident detected on Customer API. Log message: Unusual request volume detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Medium Alert,False,Dashboard,Pending
LOG-15051,CI/CD Pipeline,Error,Pipeline,Deployment rollback initiated,2026-05-27 03:25 PM,True,Pipeline Failure,"Error incident detected on CI/CD Pipeline. Log message: Deployment rollback initiated. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-69416,CI/CD Pipeline,Error,System Check,Unusual request volume detected,2026-05-27 03:25 PM,True,Operational Risk,"Error incident detected on CI/CD Pipeline. Log message: Unusual request volume detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-67650,Payment Service,Error,Repository,Branch deleted successfully,2026-05-27 03:25 PM,True,Repository Issue,"Error incident detected on Payment Service. Log message: Branch deleted successfully. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-45261,Dashboard Service,Critical,Repository,Merge conflict detected,2026-05-27 03:25 PM,True,Repository Issue,"Critical incident detected on Dashboard Service. Log message: Merge conflict detected. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",Critical Alert,True,Email + Teams,Failed: SMTP_EMAIL is missing from .env
LOG-58060,Customer API,Error,System Check,Security vulnerability found,2026-05-27 03:25 PM,True,Security Risk,"Error incident detected on Customer API. Log message: Security vulnerability found. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
LOG-41754,Dashboard Service,Error,Pipeline,Pipeline deployment succeeded,2026-05-27 03:25 PM,True,Pipeline Failure,"Error incident detected on Dashboard Service. Log message: Pipeline deployment succeeded. Recommended action: investigate service health, logs, recent deployments, database connectivity, and security activity.",High Alert,True,Email,Pending
